	molregno	assay_chembl_id	description	assay_organism	assay_tissue	assay_cell_type	standard_relation	published_value	published_units	standard_value	standard_units	standard_type	activity_comment	published_type	data_validity_comment	published_relation	pchembl_value	standard_inchi	canonical_smiles
6656	2057690	CHEMBL3755637	Displacement of MK499 from human ERG	Homo sapiens			=	11.2	uM	11200	nM	IC50		IC50		=	4.95	InChI=1S/C27H26FN5O7/c1-36-19-5-3-16-21(33-19)20(15(28)11-29-16)22-23(40-25(35)39-22)27-8-6-26(7-9-27,13-38-27)30-10-14-2-4-17-24(31-14)32-18(34)12-37-17/h2-5,11,22-23,30H,6-10,12-13H2,1H3,(H,31,32,34)/t22-,23+,26?,27?/m1/s1	COc1ccc2ncc(F)c([C@H]3OC(=O)O[C@@H]3C45CCC(CC4)(CO5)NCc6ccc7OCC(=O)Nc7n6)c2n1
1436	152819	CHEMBL1060930	Inhibition of human ERG channel expressed in HEK293 cells by patch clamp assay	Homo sapiens		HEK293	=	441	nM	441	nM	IC50		IC50		=	6.36	InChI=1S/C24H25FN6O/c1-29(23-26-13-10-22(32)28-23)19-11-14-30(15-12-19)24-27-20-4-2-3-5-21(20)31(24)16-17-6-8-18(25)9-7-17/h2-10,13,19H,11-12,14-16H2,1H3,(H,26,28,32)	CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)C5=NC=CC(=O)N5
4213	1447391	CHEMBL2210904	Inhibition of dofetilide binding to human ERG by patch clamp assay	Homo sapiens			>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C23H26N4O2S/c28-21-4-2-13-27(21)18-10-15-26(16-11-18)14-9-17-5-7-19(8-6-17)29-23-25-22-20(30-23)3-1-12-24-22/h1,3,5-8,12,18H,2,4,9-11,13-16H2	O=C1CCCN1C2CCN(CCc3ccc(Oc4nc5ncccc5s4)cc3)CC2
6124	1949793	CHEMBL3588388	Inhibition of human ERG	Homo sapiens			>	33	uM	33000	nM	IC50		IC50		>		InChI=1S/C16H16N8O/c1-3-24-13(25)7-18-15-16(24)22-12(6-17-15)10-4-5-11(21-9(10)2)14-19-8-20-23-14/h4-6,8H,3,7H2,1-2H3,(H,17,18)(H,19,20,23)	CCN1C(=O)CNc2ncc(nc12)c3ccc(nc3C)c4nc[nH]n4
3677	1352308	CHEMBL2049748	Inhibition of human ERG	Homo sapiens			>	30	uM	30000	nM	IC50		IC50		>		InChI=1S/C18H23N3O3S/c1-11(2)24-14-7-3-5-12(9-15-17(22)20-18(23)25-15)16(14)21-8-4-6-13(19)10-21/h3,5,7,9,11,13H,4,6,8,10,19H2,1-2H3,(H,20,22,23)/b15-9-/t13-/m1/s1	CC(C)Oc1cccc(\C=C\2/SC(=O)NC2=O)c1N3CCC[C@@H](N)C3
5918	1766976	CHEMBL3424852	Inhibition of human ERG expressed in CHO cells by Patch express assay	Homo sapiens			=	0.6	uM	600	nM	IC50		IC50		=	6.22	InChI=1S/C26H28FN5O4/c1-34-22-5-3-19-23(32-22)17(18(27)13-28-19)6-7-26-10-8-25(9-11-26,15-36-26)29-12-16-2-4-20-24(30-16)31-21(33)14-35-20/h2-5,13,29H,6-12,14-15H2,1H3,(H,30,31,33)	COc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1
1521	566440	CHEMBL1072651	Inhibition of human ERG by patch clamp technique	Homo sapiens			=	0.78	uM	780	nM	IC50		IC50		=	6.11	InChI=1S/C20H19ClF3N3/c1-26-9-8-17(13-26)27(16-7-6-14(11-25)19(21)10-16)12-15-4-2-3-5-18(15)20(22,23)24/h2-7,10,17H,8-9,12-13H2,1H3/t17-/m0/s1	CN1CC[C@@H](C1)N(Cc2ccccc2C(F)(F)F)c3ccc(C#N)c(Cl)c3
256	363275	CHEMBL854890	Displacement of 3H-dofetilide from hERG-expressing HEK membrane homogenates	Homo sapiens			=	51.1	uM	51100	nM	IC50		IC50		=	4.29	InChI=1S/C25H21FN2O5/c26-17-4-5-19-20(29)13-23(32-22(19)12-17)25(31)27-18-7-9-28(10-8-18)14-15-1-2-16-3-6-24(30)33-21(16)11-15/h1-6,11-13,18H,7-10,14H2,(H,27,31)	Fc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5C=CC(=O)Oc5c4)CC3
289	375232	CHEMBL914755	Displacement of [3H]dofetilide from hERG expressed in HEK293 cells	Homo sapiens		HEK293	=	0.79	uM	790	nM	IC50		IC50		=	6.10	InChI=1S/C29H27ClN4OS/c1-33-10-12-34(13-11-33)18-20-8-9-24-21(15-20)17-25-28(31-32-29(24)25)22-16-23(36-19-22)5-4-14-35-27-7-3-2-6-26(27)30/h2-3,6-9,15-16,19H,10-14,17-18H2,1H3,(H,31,32)	CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOc6ccccc6Cl)c2)CC1
5020	1610735	CHEMBL3102091	Inhibition of human ERG expressed in HEK cells after 3 hrs by ion flux electrophysiology	Homo sapiens			=	0.6	uM	600	nM	IC50		IC50		=	6.22	InChI=1S/C23H25ClN2O5/c24-16-4-5-18-15(10-16)11-23(31-18)6-8-26(9-7-23)12-17(27)13-29-19-2-1-3-20-22(19)25-21(28)14-30-20/h1-5,10,17,27H,6-9,11-14H2,(H,25,28)/t17-/m0/s1	O[C@H](COc1cccc2OCC(=O)Nc12)CN3CCC4(CC3)Cc5cc(Cl)ccc5O4
6507	2036601	CHEMBL3705667	BindingDB_Patents: Inhibition Assay. The hERG potassium current was measured in a hERG-stably-expressing Chinese hamster ovary K1 (CHO) cells. The experiments were performed using an automated planar patch-clamp system QPatch HTX (Sophion Bioscience A/S). The application of pressure for forming gigaseals and whole-cell patch clamp configuration were established using the QPatch assay software. Patch-clamp experiments were performed in voltage-clamp mode and whole-cell currents were recorded. The following stimulation protocol was applied to investigate the effects of compounds on hERG potassium channel.The membrane potential was held at -80 mV and repetitively (every 15 seconds) depolarized to +20 mV for 4800 milliseconds after the pulse to -50 mV for 20 milliseconds served to define the baseline, followed by repolarizing step to -50 mV for 5000 milliseconds to evaluate of the tail current amplitude. Experiments were conducted at room temperature.	Homo sapiens			=	6050	nM	6050	nM	IC50		IC50		=	5.22	InChI=1S/C21H19N3O2S/c1-2-3-14-6-16(9-23-8-14)15-4-5-18-17(7-15)21(13-27-19(22)24-21)20(12-26-18)10-25-11-20/h4-9H,10-13H2,1H3,(H2,22,24)	CC#Cc1cncc(c1)c2ccc3OCC4(COC4)C5(CSC(=N5)N)c3c2
1866	632225	CHEMBL1120514	Displacement of [3H]dofetilide from human ERG	Homo sapiens			=	40100	nM	40100	nM	IC50		IC50		=	4.40	InChI=1S/C19H23FN2O/c1-23-19-9-5-2-6-15(19)14-18(22-12-10-21-11-13-22)16-7-3-4-8-17(16)20/h2-9,18,21H,10-14H2,1H3	COc1ccccc1CC(N2CCNCC2)c3ccccc3F
5802	1840273	CHEMBL3419515	Inhibition of human ERG expressed in CHO cells at -80 mV holding potential by whole cell patch clamp assay	Homo sapiens			>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C17H25N5/c1-2-7-12-21(11-6-1)13-10-18-17-15-22(20-19-17)14-16-8-4-3-5-9-16/h3-5,8-9,15,18H,1-2,6-7,10-14H2	C(CN1CCCCCC1)Nc2cn(Cc3ccccc3)nn2
2780	631496	CHEMBL1827362	Displacement of [3H]dofetilide from human recombinant ERG by Competitive binding assay	Homo sapiens			=	20400	nM	20400	nM	IC50		IC50		=	4.69	InChI=1S/C24H30N4OS/c1-17-4-3-10-27(17)11-9-19-5-7-21-20(16-19)6-8-22(26-21)23-18(2)25-24(30-23)28-12-14-29-15-13-28/h5-8,16-17H,3-4,9-15H2,1-2H3/t17-/m1/s1	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)N5CCOCC5
6732	2072940	CHEMBL3779605	Binding affinity to human ERG	Homo sapiens								IC50	Not Determined	IC50				InChI=1S/C27H25N9O2/c1-15-30-26(35-38-15)27(16-12-29-36(2)14-16)24-18(17-7-4-5-8-19(17)32-24)11-21(34-27)25-28-13-22(33-25)20-9-6-10-23(31-20)37-3/h4-10,12-14,21,32,34H,11H2,1-3H3,(H,28,33)/t21-,27+/m1/s1	COc1cccc(n1)c2c[nH]c(n2)[C@H]3Cc4c([nH]c5ccccc45)[C@@](N3)(c6cnn(C)c6)c7noc(C)n7
750	460728	CHEMBL1021966	Displacement of [35S]N-[(4R)-1'-[(2R)-6-cyano-1,2,3,4-tetrahydro-2-naphthyl]-3,4-dihydro-4-hydroxyspiro[2H-1-benzopyran-2,4'-piperidin]6-yl]methanesulfonamide from human ERG expressed in HEK293 cells	Homo sapiens		HEK293	=	6100	nM	6100	nM	IC50		IC50		=	5.22	InChI=1S/C22H16F2N4O/c23-17-5-1-15(2-6-17)22(16-3-7-18(24)8-4-16)20(13-29)27-21(28-22)19-11-14(12-25)9-10-26-19/h1-11,20,29H,13H2,(H,27,28)/t20-/m0/s1	OC[C@@H]1NC(=NC1(c2ccc(F)cc2)c3ccc(F)cc3)c4cc(ccn4)C#N
4084	1438697	CHEMBL2182706	Inhibition of human ERG expressed in CHO cells by IonWorks assay	Homo sapiens		CHO	=	16	uM	16000	nM	IC50		IC50		=	4.80	InChI=1S/C24H14F5N5/c25-18-5-4-14(8-16(18)13-10-31-12-32-11-13)23(15-6-7-33-20(9-15)24(27,28)29)17-2-1-3-19(26)21(17)22(30)34-23/h1-12H,(H2,30,34)	NC1=NC(c2ccnc(c2)C(F)(F)F)(c3ccc(F)c(c3)c4cncnc4)c5cccc(F)c15
6437	1971277	CHEMBL3635627	Binding affinity to human ERG	Homo sapiens			>	30	uM	30000	nM	IC50		IC50		>		InChI=1S/C25H23F3N4O3/c1-15(16-9-11-18(34-3)12-10-16)29-20(33)14-35-21-13-19(25(26,27)28)22-23(17-7-5-4-6-8-17)31-32(2)24(22)30-21/h4-13,15H,14H2,1-3H3,(H,29,33)/t15-/m0/s1	COc1ccc(cc1)[C@H](C)NC(=O)COc2cc(c3c(nn(C)c3n2)c4ccccc4)C(F)(F)F
3892	1424837	CHEMBL2160981	Displacement of [3H]astemizole from human ERG potassium channel	Homo sapiens			>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C25H30N6O3/c26-15-20-16-28-23(29-20)24(33)30-22-7-6-19(14-21(22)18-4-2-1-3-5-18)17-8-11-31(12-9-17)25(34)27-10-13-32/h4,6-7,14,16-17,32H,1-3,5,8-13H2,(H,27,34)(H,28,29)(H,30,33)	OCCNC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4
3479	1344043	CHEMBL2033832	Inhibition of human Erg expressed in HEK293 cells by whole cell patch clamp analysis	Homo sapiens		HEK293	=	0.9	uM	900	nM	IC50		IC50		=	6.05	InChI=1S/C39H50F2N2O3/c1-26-25-42(37(45)29-23-33(38(2,3)4)36(46-8)34(24-29)39(5,6)7)21-22-43(26)35(44)12-10-9-11-32(27-13-17-30(40)18-14-27)28-15-19-31(41)20-16-28/h13-20,23-24,26,32H,9-12,21-22,25H2,1-8H3/t26-/m0/s1	COc1c(cc(cc1C(C)(C)C)C(=O)N2CCN([C@@H](C)C2)C(=O)CCCCC(c3ccc(F)cc3)c4ccc(F)cc4)C(C)(C)C
1845	631950	CHEMBL1119165	Inhibition of human ERG by patch clamp assay	Homo sapiens			=	11	uM	11000	nM	IC50		IC50		=	4.96	InChI=1S/C24H28N4O4/c1-27-22(8-9-25-27)21-17-19(26-24(29)18-4-3-5-20(16-18)30-2)6-7-23(21)32-15-12-28-10-13-31-14-11-28/h3-9,16-17H,10-15H2,1-2H3,(H,26,29)	COc1cccc(c1)C(=O)Nc2ccc(OCCN3CCOCC3)c(c2)c4ccnn4C
1606	617860	CHEMBL1112305	Inhibition of human ERG	Homo sapiens			=	19800	nM	19800	nM	IC50		IC50		=	4.70	InChI=1S/C15H20Cl2N2O/c1-10(2)9-19(12-5-6-18-8-12)15(20)13-7-11(16)3-4-14(13)17/h3-4,7,10,12,18H,5-6,8-9H2,1-2H3/t12-/m0/s1	CC(C)CN([C@H]1CCNC1)C(=O)c2cc(Cl)ccc2Cl
423	414588	CHEMBL940929	Displacement of [3H]bufuralol from hERG channel expressed in HEK293 cells	Homo sapiens		HEK293	=	3.3	uM	3300	nM	IC50		IC50		=	5.48	InChI=1S/C24H30N2O3/c1-16-3-7-20(8-4-16)24(29)11-13-26(14-12-24)17(2)23(28)19-5-9-21-18(15-19)6-10-22(27)25-21/h3-5,7-9,15,17,23,28-29H,6,10-14H2,1-2H3,(H,25,27)	CC(C(O)c1ccc2NC(=O)CCc2c1)N3CCC(O)(CC3)c4ccc(C)cc4
846	479606	CHEMBL1007470	Displacement of [35S]MK499 from human ERG expressed in HEK293 cells	Homo sapiens		HEK293	=	30000	nM	30000	nM	IC50		IC50		=	4.52	InChI=1S/C21H23ClFN5/c1-13-8-9-15(11-25-13)20-14(2)19(12-26-18-7-3-6-17(18)23)27-28(20)21-16(22)5-4-10-24-21/h4-5,8-11,17-18,26H,3,6-7,12H2,1-2H3	Cc1ccc(cn1)c2c(C)c(CNC3CCCC3F)nn2c4ncccc4Cl
5052	1618074	CHEMBL3118391	Binding affinity to human ERG	Homo sapiens			>	50	uM	50000	nM	IC50		IC50		>		InChI=1S/C31H38F3N5O4/c1-42-27-18-43-10-8-26(27)37-24-12-23-17-39(29(41)36-14-20-5-3-2-4-6-20)19-30(23,13-24)28(40)38-9-7-25-21(16-38)11-22(15-35-25)31(32,33)34/h2-6,11,15,23-24,26-27,37H,7-10,12-14,16-19H2,1H3,(H,36,41)/t23-,24+,26?,27?,30-/m0/s1	COC1COCCC1N[C@@H]2C[C@H]3CN(C[C@]3(C2)C(=O)N4CCc5ncc(cc5C4)C(F)(F)F)C(=O)NCc6ccccc6
5861	1766976	CHEMBL3424851	Inhibition of MK499 binding to human ERG	Homo sapiens			=	2.1	uM	2100	nM	IC50		IC50		=	5.68	InChI=1S/C26H28FN5O4/c1-34-22-5-3-19-23(32-22)17(18(27)13-28-19)6-7-26-10-8-25(9-11-26,15-36-26)29-12-16-2-4-20-24(30-16)31-21(33)14-35-20/h2-5,13,29H,6-12,14-15H2,1H3,(H,30,31,33)	COc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1
748	460726	CHEMBL1021966	Displacement of [35S]N-[(4R)-1'-[(2R)-6-cyano-1,2,3,4-tetrahydro-2-naphthyl]-3,4-dihydro-4-hydroxyspiro[2H-1-benzopyran-2,4'-piperidin]6-yl]methanesulfonamide from human ERG expressed in HEK293 cells	Homo sapiens		HEK293	=	490	nM	490	nM	IC50		IC50		=	6.31	InChI=1S/C23H18F2N4/c1-2-21-23(16-3-7-18(24)8-4-16,17-5-9-19(25)10-6-17)29-22(28-21)20-13-15(14-26)11-12-27-20/h3-13,21H,2H2,1H3,(H,28,29)/t21-/m0/s1	CC[C@@H]1NC(=NC1(c2ccc(F)cc2)c3ccc(F)cc3)c4cc(ccn4)C#N
179	361194	CHEMBL909940	Displacement of [3H]dofetilide from hERG	Homo sapiens								IC50	Not Determined	IC50				InChI=1S/C24H21F3N2O5/c25-24(26,27)15-2-4-19-17(10-15)18(30)11-22(34-19)23(31)28-16-5-7-29(8-6-16)12-14-1-3-20-21(9-14)33-13-32-20/h1-4,9-11,16H,5-8,12-13H2,(H,28,31)	FC(F)(F)c1ccc2OC(=CC(=O)c2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3
1526	603034	CHEMBL1070712	Inhibition of human ERG	Homo sapiens			>	90	uM	90000	nM	IC50		IC50		>		InChI=1S/C37H50N6O7/c1-2-3-9-24-50-37(49)43-22-20-42(21-23-43)36(48)30(12-13-33(44)45)39-34(46)32-26-29(25-31(38-32)27-10-5-4-6-11-27)40-18-14-28(15-19-40)35(47)41-16-7-8-17-41/h4-6,10-11,25-26,28,30H,2-3,7-9,12-24H2,1H3,(H,39,46)(H,44,45)/t30-/m0/s1	CCCCCOC(=O)N1CCN(CC1)C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(cc(n2)c3ccccc3)N4CCC(CC4)C(=O)N5CCCC5
518	435319	CHEMBL933193	Inhibition of human ERG by FLIPR assay	Homo sapiens			=	6.2	uM	6200	nM	IC50		IC50		=	5.21	InChI=1S/C33H34N2O5/c1-21-28(34-30(40-21)23-10-6-5-7-11-23)17-18-39-26-12-8-9-22(19-26)20-27-29(32(37)38)35(31(27)36)25-15-13-24(14-16-25)33(2,3)4/h5-16,19,27,29H,17-18,20H2,1-4H3,(H,37,38)/t27-,29-/m0/s1	Cc1oc(nc1CCOc2cccc(C[C@H]3[C@H](N(C3=O)c4ccc(cc4)C(C)(C)C)C(=O)O)c2)c5ccccc5
4829	1580039	CHEMBL2427861	Inhibition of human ERG by patch clamp assay	Homo sapiens			=	16	uM	16000	nM	IC50		IC50		=	4.80	InChI=1S/C24H25F2N5O3/c25-17-11-29-18-1-2-21(32)31-14-24(26,22(17)23(18)31)13-30-5-3-15(4-6-30)27-10-16-9-19-20(12-28-16)34-8-7-33-19/h1-2,9,11-12,15,27H,3-8,10,13-14H2/t24-/m0/s1	Fc1cnc2C=CC(=O)N3C[C@@](F)(CN4CCC(CC4)NCc5cc6OCCOc6cn5)c1c23
3374	1339767	CHEMBL2026493	Displacement of [3H] dofetilide from human ERG channel expressed in HEK293 cells after 45 mins by scintillation counting method	Homo sapiens		HEK293	=	76.5	uM	76500	nM	IC50		IC50		=	4.12	InChI=1S/C17H26N2O5S/c1-2-23-17(20)14-8-11-19(12-9-14)10-3-13-24-15-4-6-16(7-5-15)25(18,21)22/h4-7,14H,2-3,8-13H2,1H3,(H2,18,21,22)	CCOC(=O)C1CCN(CCCOc2ccc(cc2)S(=O)(=O)N)CC1
1167	499192	CHEMBL1011901	Inhibition of human ERG by MK-0499 binding assay	Homo sapiens			=	2.5	uM	2500	nM	IC50		IC50		=	5.60	InChI=1S/C24H22F8N2O4S/c25-22(26,13-35)16-9-17(24(30,31)32)11-18(10-16)39(37,38)34-7-5-33(6-8-34)21(36)20-12-19(20)14-1-3-15(4-2-14)23(27,28)29/h1-4,9-11,19-20,35H,5-8,12-13H2/t19-,20+/m0/s1	OCC(F)(F)c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)[C@@H]3C[C@H]3c4ccc(cc4)C(F)(F)F)C(F)(F)F
5935	1841451	CHEMBL3425006	Inhibition of human ERG expressed in HEK293 cells after 5 mins by patch-clamp assay	Homo sapiens			=	27	uM	27000	nM	IC50		IC50		=	4.57	InChI=1S/C20H17N5OS2/c1-13-21-16(12-28-13)19-23-22-18-11-24(8-9-25(18)19)20(26)15-6-4-14(5-7-15)17-3-2-10-27-17/h2-7,10,12H,8-9,11H2,1H3	Cc1nc(cs1)c2nnc3CN(CCn23)C(=O)c4ccc(cc4)c5cccs5
4197	1446428	CHEMBL2215193	Inhibition of human ERG	Homo sapiens			=	22	uM	22000	nM	IC50		IC50		=	4.66	InChI=1S/C22H21ClN6O3/c1-14-7-8-19(24-11-14)28-21(30)18(9-10-31-2)32-22-15-12-27-29(20(15)25-13-26-22)17-6-4-3-5-16(17)23/h3-8,11-13,18H,9-10H2,1-2H3,(H,24,28,30)/t18-/m0/s1	COCC[C@H](Oc1ncnc2c1cnn2c3ccccc3Cl)C(=O)Nc4ccc(C)cn4
5953	1843182	CHEMBL3428449	Displacement of MK499 from human ERG	Homo sapiens			=	11.7	uM	11700	nM	IC50		IC50		=	4.93	InChI=1S/C26H26FN5O5/c27-16-9-29-17-1-2-21(34)32-13-26(35,22(16)23(17)32)12-25-5-3-24(4-6-25,14-37-25)30-8-15-7-18-19(10-28-15)36-11-20(33)31-18/h1-2,7,9-10,30,35H,3-6,8,11-14H2,(H,31,33)/t24?,25?,26-/m0/s1	O[C@@]1(CC23CCC(CC2)(CO3)NCc4cc5NC(=O)COc5cn4)CN6C(=O)C=Cc7ncc(F)c1c67
3319	1208375	CHEMBL2020831	Inhibition of human ERG by radioligand binding assay	Homo sapiens			>	30	uM	30000	nM	IC50		IC50		>		InChI=1S/C21H21N5O4S/c1-13-23-24-21(26(13)15-6-8-16(27-2)9-7-15)31-12-19-22-20(25-30-19)14-5-10-17(28-3)18(11-14)29-4/h5-11H,12H2,1-4H3	COc1ccc(cc1)n2c(C)nnc2SCc3onc(n3)c4ccc(OC)c(OC)c4
4717	1571150	CHEMBL2404993	Inhibition of human ERG transfected in CHO cells by patch clamp assay	Homo sapiens		CHO						IC50	Not Determined	IC50				InChI=1S/C24H30FN3O/c1-16-6-7-19(25)14-22(16)24(29)26-23-9-8-20(13-17(23)2)27-12-10-21(15-27)28-11-4-5-18(28)3/h6-9,13-14,18,21H,4-5,10-12,15H2,1-3H3,(H,26,29)/t18-,21+/m1/s1	C[C@@H]1CCCN1[C@H]2CCN(C2)c3ccc(NC(=O)c4cc(F)ccc4C)c(C)c3
5819	1840291	CHEMBL3419515	Inhibition of human ERG expressed in CHO cells at -80 mV holding potential by whole cell patch clamp assay	Homo sapiens								IC50	Not Determined	IC50				InChI=1S/C18H24Cl2N6OS/c1-2-5-21-18(28)25(7-6-24-8-10-27-11-9-24)17-13-26(23-22-17)14-3-4-15(19)16(20)12-14/h3-4,12-13H,2,5-11H2,1H3,(H,21,28)	CCCNC(=S)N(CCN1CCOCC1)c2cn(nn2)c3ccc(Cl)c(Cl)c3
4199	1447397	CHEMBL2210902	Inhibition of human ERG by patch clamp assay	Homo sapiens			>	10	uM	10000	nM	IC50		IC50		>		InChI=1S/C20H20N4O2S/c1-13(25)24-12-15-9-16(24)11-23(15)10-14-4-6-17(7-5-14)26-20-22-19-18(27-20)3-2-8-21-19/h2-8,15-16H,9-12H2,1H3	CC(=O)N1CC2CC1CN2Cc3ccc(Oc4nc5ncccc5s4)cc3
2888	1180226	CHEMBL1839504	Inhibition of human ERG by patch clamp assay	Homo sapiens			=	0.48	uM	480	nM	IC50		IC50		=	6.32	InChI=1S/C25H32N2O6/c1-30-20-7-5-18(6-8-20)16-27-11-9-25(10-12-27,24(29)33-4)17-26-23(28)19-13-21(31-2)15-22(14-19)32-3/h5-8,13-15H,9-12,16-17H2,1-4H3,(H,26,28)	COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc3ccc(OC)cc3)CC1
198	361183	CHEMBL909940	Displacement of [3H]dofetilide from hERG	Homo sapiens			=	5.4	nM	5.4	nM	IC50		IC50		=	8.27	InChI=1S/C23H23FN2O4/c1-29-18-5-2-15(3-6-18)14-26-10-8-17(9-11-26)25-23(28)22-13-20(27)19-7-4-16(24)12-21(19)30-22/h2-7,12-13,17H,8-11,14H2,1H3,(H,25,28)	COc1ccc(CN2CCC(CC2)NC(=O)C3=CC(=O)c4ccc(F)cc4O3)cc1
6308	1960686	CHEMBL3611375	Inhibition of human ERG expressed in HEK cells by patch clamp assay	Homo sapiens			<	0.4	uM	400	nM	IC50		IC50		<		InChI=1S/C31H41N3O3/c1-21(2)30(35)37-31(20-22-10-7-13-25(31)24-12-6-5-11-23(22)24)17-19-34(3)18-9-16-28-32-26-14-8-15-27(36-4)29(26)33-28/h5-6,8,11-12,14-15,21-22,25H,7,9-10,13,16-20H2,1-4H3,(H,32,33)/t22-,25-,31+/m1/s1	COc1cccc2nc(CCCN(C)CC[C@@]3(C[C@H]4CCC[C@@H]3c5ccccc45)OC(=O)C(C)C)[nH]c12
4599	1523283	CHEMBL2342727	Inhibition of human ERG	Homo sapiens			=	20	uM	20000	nM	IC50		IC50		=	4.70	InChI=1S/C19H19ClF4N2O/c20-17-10-14(19(22,23)24)9-16(26-17)11-27-12-18(5-7-25-8-6-18)13-1-3-15(21)4-2-13/h1-4,9-10,25H,5-8,11-12H2	Fc1ccc(cc1)C2(COCc3cc(cc(Cl)n3)C(F)(F)F)CCNCC2
6258	1958163	CHEMBL3607541	Inhibition of human ERG assessed as reduction in MK499 competitive binding	Homo sapiens			>	60	uM	60000	nM	IC50		IC50		>		InChI=1S/C29H32FN5O6/c30-20-15-31-21-4-6-24(39-13-1-2-25(37)38)35-26(21)19(20)7-8-29-11-9-28(10-12-29,17-41-29)32-14-18-3-5-22-27(33-18)34-23(36)16-40-22/h3-6,15,32H,1-2,7-14,16-17H2,(H,37,38)(H,33,34,36)	OC(=O)CCCOc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1
3411	1337344	CHEMBL2026493	Displacement of [3H] dofetilide from human ERG channel expressed in HEK293 cells after 45 mins by scintillation counting method	Homo sapiens		HEK293	>	100	uM	100000	nM	IC50		IC50		>		InChI=1S/C25H33N3O6S/c1-2-33-24(29)20-14-17-28(18-15-20)16-6-7-19-34-22-10-12-23(13-11-22)35(31,32)27-25(30)26-21-8-4-3-5-9-21/h3-5,8-13,20H,2,6-7,14-19H2,1H3,(H2,26,27,30)	CCOC(=O)C1CCN(CCCCOc2ccc(cc2)S(=O)(=O)NC(=O)Nc3ccccc3)CC1
3574	1346314	CHEMBL2038474	Inhibition of human ERG	Homo sapiens			=	8.9	uM	8900	nM	IC50		IC50		=	5.05	InChI=1S/C18H27Cl2N5O/c1-2-23-6-5-21-15(12-23)13-24-7-9-25(10-8-24)18(26)22-14-3-4-16(19)17(20)11-14/h3-4,11,15,21H,2,5-10,12-13H2,1H3,(H,22,26)	CCN1CCNC(CN2CCN(CC2)C(=O)Nc3ccc(Cl)c(Cl)c3)C1
660	449920	CHEMBL948532	Displacement of [35S]MK499 from human ERG K+ channel expressed in HEK293 cells	Homo sapiens		HEK293	>	50000	nM	50000	nM	IC50		IC50		>		InChI=1S/C22H28N2O/c1-16-5-2-3-7-20(16)18-8-11-24(12-9-18)15-17-13-19-6-4-10-23-22(19)21(25)14-17/h2-7,10,17-18,21,25H,8-9,11-15H2,1H3/t17-,21+/m1/s1	Cc1ccccc1C2CCN(C[C@H]3C[C@H](O)c4ncccc4C3)CC2
5369	1760914	CHEMBL3294033	Inhibition of human ERG by patch clamp electrophysiological analysis	Homo sapiens			>	100	uM	100000	nM	IC50		IC50		>		InChI=1S/C25H30N6O5/c1-34-17-11-20-18(27-13-17)4-6-24(33)31(20)10-9-30-8-7-19(22(14-30)35-2)26-12-16-3-5-21-25(28-16)29-23(32)15-36-21/h3-6,11,13,19,22,26H,7-10,12,14-15H2,1-2H3,(H,28,29,32)/t19-,22+/m1/s1	CO[C@H]1CN(CCN2C(=O)C=Cc3ncc(OC)cc23)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4
3570	1346318	CHEMBL2038474	Inhibition of human ERG	Homo sapiens			=	10	uM	10000	nM	IC50		IC50		=	5.00	InChI=1S/C18H25Cl2N5O2/c1-2-23-6-5-21-16(12-23)17(26)24-7-9-25(10-8-24)18(27)22-13-3-4-14(19)15(20)11-13/h3-4,11,16,21H,2,5-10,12H2,1H3,(H,22,27)/t16-/m1/s1	CCN1CCN[C@H](C1)C(=O)N2CCN(CC2)C(=O)Nc3ccc(Cl)c(Cl)c3
5292	460144	CHEMBL3268715	Inhibition of human ERG by Q-patch assay	Homo sapiens								IC50	Not Determined	IC50				InChI=1S/C22H23FN6O5/c1-22(2)20(30)28-19-13(34-22)6-7-16(27-19)26-18-12(23)10-24-21(29-18)25-11-8-14(31-3)17(33-5)15(9-11)32-4/h6-10H,1-5H3,(H3,24,25,26,27,28,29,30)	COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC
